CODE_UIC;LIBELLE;long;lat
0087342584;Avion;2.83365;50.40723
0087342337;Saint-Pol-sur-Ternoise;2.33939;50.37913
0087342261;Ham-en-Artois;2.4657764;50.5900401
0087342238;Lillers;2.47903;50.56163
0087342063;Courcelles-le-Comte;2.7880351;50.1694124
0087342014;Arras;2.781942;50.286673
0087338525;Krimmeri Meinau;7.75259;48.56358
0087338517;Hoenheim Tram;7.7581387;48.6285976
0087334482;Neuville Université;2.07886;49.01426
0087328328;Bibliothèque François Mitterrand;2.37684;48.82984
0087319012;Aix-en-Provence TGV;5.317534;43.455237
0087317529;Le Tréport - Mers-les-Bains;1.3763738;50.0628592
0087317404;Rue;1.67570;50.27308
0087317180;Brimeux;1.8313826;50.4470409
0087317115;Pont de Briques;1.6268038;50.6828164
0087317057;Rang-du-Fliers - Verton - Berck;1.64805;50.41579
0087316745;Acheux - Franleu;1.6574207;50.0826021
0087316687;Le Haut Banc;1.7722209;50.8163364
0087316208;Wacquemoulin;2.6116581;49.5032575
0087316125;Thézy-Glimont;2.435931;49.8118528
0087315044;Daours;2.4590533;49.899267
0087313833;Formerie;1.7229081;49.6542178
0087313734;Grandvilliers;1.9384836;49.6593779
0087313585;Hermes - Berthecourt;2.2416554;49.3544055
0087313569;Balagny Saint-Épin;2.3441977;49.2942448
0087313403;Remy;2.7059434;49.4331452
0087313320;Moreuil;2.47582;49.77699
0087313288;Saint-Remy-en-l'Eau;2.4258609;49.4681726
0087313130;Pont-Remy;1.8988404;50.0472341
0087313106;Picquigny;2.1432765;49.9461557
0087297150;Voyenne;3.7202555;49.7260708
0087297143;Dercy - Froidmont;3.6918473;49.7025404
0087297101;La Neuville-sous-Laon;3.59646;49.57068
0087296178;Clacy - Mons;3.5766816;49.5439229
0087296152;Crépy - Couvron;3.5167165;49.6233401
0087296129;Vervins;3.8936313;49.8299236
0087296095;Marle sur Serre;3.7695801;49.747192
0087295667;Ors;3.626754;50.1031718
0087295543;Sous le Bois;3.93961;50.2655833
0087295535;Louvroil;3.9535768;50.2683469
0087287128;Mont de Terre;3.0966031;50.6176672
0087286831;Pont de Bois;3.13026;50.62403
0087286807;Genech;3.2205033;50.5306894
0087286609;Nomain;3.2063499;50.5023744
0087286583;Orchies;3.24888;50.47705
0087286526;Wattignies - Templemars;3.051975;50.5793139
0087286229;Wambrechies;3.0402974;50.6812648
0087286179;Bailleul;2.73445;50.72916
0087286005;Lille Flandres;3.069870;50.636577
0087281451;Renescure;2.3713644;50.732006
0087281428;Audruicq;2.07636;50.87567
0087281113;Esquelbecq;2.4121536;50.8894369
0087281071;Calais - Fréthun;1.810891;50.901221
0087276782;Noyon;3.00641;49.57736
0087276741;Thourotte;2.8830021;49.4760722
0087276733;Le Meux - La Croix-Saint-Ouen;2.7532645;49.3594029
0087276691;Compiègne;2.823679;49.422005
0087276642;Bessancourt;2.21004;49.03576
0087276592;Gros Noyer Saint-Prix;2.25880;48.99682
0087276576;Luzarches;2.42074;49.11719
0087276535;Valmondois;2.20238;49.09182
0087276402;Saint-Leu-d'Esserent;2.4177845;49.2140819
0087276394;Écouen - Ézanville;2.36325;49.02273
0087276386;Sarcelles - Saint-Brice;2.36867;48.99529
0087276378;Villers-Saint-Paul;2.4899067;49.2825762
0087276287;La Borne Blanche;2.5058656;49.126985
0087276253;Louvres;2.5018967;49.0496573
0087276238;Les Noues;2.47633;49.03234
0087276170;Saint-Gratien;2.28531;48.96403
0087276063;Cernay (Val-d'Oise);2.25680;48.98539
0087276022;Enghien-les-Bains;2.30699;48.97309
0087272286;Corcy;3.2157221;49.2550929
0087272047;Compans;2.6652718;48.9915767
0087271882;Margival;3.4027491;49.4393862
0087271874;Crouy;3.3569138;49.4037093
0087271536;Dammartin - Juilly - Saint-Mard;2.69887;49.03219
0087271528;Mitry - Claye;2.64247;48.97569
0087271494;Aéroport Charles de Gaulle 2 TGV;2.570892;49.003652
0087001479;Aéroport Charles de Gaulle 2 TGV (RER);2.570892;49.003652
0087271437;Vert Galant;2.56670;48.94467
0087271403;Drancy;2.45497;48.93298
0087271148;Épinay-sur-Seine;2.3026142;48.9542084
0087223263;Lille Europe;3.075796;50.639224
0087215632;Oermingen;7.1317322;49.0003724
0087215012;Sarrebourg;7.05285;48.73808
0087214759;Saulxures;7.1478548;48.3895555
0087214742;Saint-Blaise-la-Roche Poutay;7.165329;48.4076094
0087214296;Bischoffsheim;7.49772;48.48701
0087213470;Wissembourg;7.9501435;49.0318895
0087213223;Gundershoffen;7.6535345;48.905261
0087213165;Obermodern-Zutzendorf;7.547015;48.8426083
0087213108;Schweighouse-sur-Moder;7.7425635;48.8286765
0087213058;Haguenau;7.7827255;48.8134498
0087212415;Roppenheim;8.0623108;48.8510962
0087212407;Roeschwoog;8.0298738;48.8334661
0087212332;Gambsheim;7.8791884;48.6948699
0087212324;Kilstett;7.8549031;48.6793065
0087212209;Steinbourg;7.416299;48.7635292
0087212167;Hochfelden;7.572355;48.7554199
0087212159;Schwindratzheim;7.6005468;48.7536468
0087212142;Mommenheim;7.6422273;48.7561587
0087212126;Stephansfeld;7.7045946;48.7175872
0087194357;Audun-le-Roman;5.89139;49.36682
0087193821;Bitche;7.4321;49.04838
0087193805;Enchenberg;7.33372;49.01614
0087193664;Kalhausen;7.125352;49.0350585
0087193540;Hundling;6.9775394;49.1066949
0087193177;Bouzonville;6.5293736;49.2899739
0087192419;Ancy-sur-Moselle;6.0627661;49.0575093
0087192286;Morhange;6.6590266;48.9366239
0087192237;Rémilly;6.3950968;49.0140249
0087191742;Gandrange - Amnéville;6.1358897;49.2608222
0087191734;Rombas - Clouange;6.0990538;49.2560553
0087191635;Sierck-les-Bains;6.350327;49.443655
0087191387;Anzeling;6.4602649;49.2620718
0087191304;Yutz;6.2093949;49.361354
0087191130;Uckange;6.1567735;49.3032605
0087184622;Clerval;6.4920574;47.3966577
0087184531;Voujeaucourt;6.7699667;47.4789729
0087184200;Bas Évette;6.8068494;47.6810089
0087182733;Muhlbach-sur-Munster;7.0875666;48.0246077
0087534347;Lutterbach Tram-train;7.276994;47.7582136
0087182634;Oderen;6.9734829;47.9118756
0087182600;Saint-Amarin;7.0287447;47.8728596
0087182584;Willer-sur-Thur;7.0693196;47.8425494
0087182402;Ranspach;7.0123184;47.8815954
0087182345;Logelbach;7.3206082;48.087299
0087182253;Dannemarie;7.124907;47.6275771
0087182196;Zillisheim;7.2945376;47.6943143
0087181065;Walheim;7.2633202;47.6416406
0087181057;Tagolsheim;7.2641437;47.6549682
0087181040;Flaxlanden;7.3044703;47.6986924
0087181024;Hasenrain;7.3313559;47.736281
0087175240;Lérouville;5.5387053;48.7972181
0087175133;Bayard;5.0754439;48.5520296
0087175091;Joinville;5.143503;48.4442977
0087175000;Saint-Dizier;4.947855;48.642404
0087174821;Suippes;4.5439253;49.1202289
0087174409;Mourmelon-le-Petit;4.3180982;49.1313076
0087172098;Fumay;4.692600;49.986048
0087172064;Deville;4.7072062;49.8796028
0087171769;Coucy-lès-Eppes;3.7748209;49.556282
0087171629;Prunay;4.18364;49.1988
0087171611;Val-de-Vesle;4.22221;49.17792
0087171462;Bazancourt;4.173887;49.361202
0087171330;Fismes;3.682130;49.310665
